rover,earth_date,camera,photo_count,total_photos
Perseverance,2023-01-15,REAR_HAZCAM_LEFT,4,357
Perseverance,2023-01-15,REAR_HAZCAM_RIGHT,4,357
Perseverance,2023-01-16,EDL_RUCAM,1,63
Perseverance,2023-01-16,EDL_RDCAM,1,63
Perseverance,2023-01-16,NAVCAM_LEFT,15,63
Perseverance,2023-01-16,MCZ_RIGHT,14,63
Perseverance,2023-01-16,MCZ_LEFT,18,63
Perseverance,2023-01-16,SUPERCAM_RMI,14,63
Perseverance,2023-01-17,NAVCAM_LEFT,21,157
Perseverance,2023-01-17,MCZ_RIGHT,46,157
Perseverance,2023-01-17,MCZ_LEFT,46,157
Perseverance,2023-01-17,SKYCAM,2,157
Perseverance,2023-01-17,SHERLOC_WATSON,36,157
Perseverance,2023-01-17,SUPERCAM_RMI,6,157
Perseverance,2023-01-18,NAVCAM_LEFT,112,478
Perseverance,2023-01-18,NAVCAM_RIGHT,90,478
Perseverance,2023-01-18,MCZ_RIGHT,85,478
Perseverance,2023-01-18,MCZ_LEFT,85,478
Perseverance,2023-01-18,FRONT_HAZCAM_LEFT_A,38,478
Perseverance,2023-01-18,FRONT_HAZCAM_RIGHT_A,38,478
Perseverance,2023-01-18,REAR_HAZCAM_LEFT,4,478
Perseverance,2023-01-18,REAR_HAZCAM_RIGHT,4,478
Perseverance,2023-01-18,SKYCAM,2,478
Perseverance,2023-01-18,SUPERCAM_RMI,20,478
Perseverance,2023-01-19,NAVCAM_LEFT,21,605
Perseverance,2023-01-19,MCZ_RIGHT,276,605
Perseverance,2023-01-19,MCZ_LEFT,276,605
Perseverance,2023-01-19,SKYCAM,4,605
Perseverance,2023-01-19,SHERLOC_WATSON,24,605
Perseverance,2023-01-19,SUPERCAM_RMI,4,605
Perseverance,2023-01-20,NAVCAM_LEFT,17,87
Perseverance,2023-01-20,NAVCAM_RIGHT,2,87
Perseverance,2023-01-20,MCZ_RIGHT,7,87
Perseverance,2023-01-20,MCZ_LEFT,9,87
Perseverance,2023-01-20,SKYCAM,2,87
Perseverance,2023-01-20,SHERLOC_WATSON,44,87
Perseverance,2023-01-20,SUPERCAM_RMI,6,87
Perseverance,2023-01-21,NAVCAM_LEFT,101,416
Perseverance,2023-01-21,NAVCAM_RIGHT,75,416
Perseverance,2023-01-21,MCZ_RIGHT,10,416
Perseverance,2023-01-21,MCZ_LEFT,10,416
Perseverance,2023-01-21,FRONT_HAZCAM_LEFT_A,41,416
Perseverance,2023-01-21,FRONT_HAZCAM_RIGHT_A,41,416
Perseverance,2023-01-21,REAR_HAZCAM_LEFT,4,416
Perseverance,2023-01-21,REAR_HAZCAM_RIGHT,4,416
Perseverance,2023-01-21,SKYCAM,4,416
Perseverance,2023-01-21,SHERLOC_WATSON,126,416
Perseverance,2023-01-22,MCZ_RIGHT,28,114
Perseverance,2023-01-22,MCZ_LEFT,28,114
Perseverance,2023-01-22,SKYCAM,2,114
Perseverance,2023-01-22,SUPERCAM_RMI,56,114
Perseverance,2023-01-23,NAVCAM_LEFT,40,126
Perseverance,2023-01-23,NAVCAM_RIGHT,24,126
Perseverance,2023-01-23,MCZ_RIGHT,15,126
Perseverance,2023-01-23,MCZ_LEFT,15,126
Perseverance,2023-01-23,FRONT_HAZCAM_LEFT_A,4,126
Perseverance,2023-01-23,FRONT_HAZCAM_RIGHT_A,4,126
Perseverance,2023-01-23,REAR_HAZCAM_LEFT,1,126
Perseverance,2023-01-23,REAR_HAZCAM_RIGHT,1,126
Perseverance,2023-01-23,SKYCAM,4,126
Perseverance,2023-01-23,SUPERCAM_RMI,18,126
Perseverance,2023-01-24,NAVCAM_LEFT,26,44
Perseverance,2023-01-24,MCZ_RIGHT,6,44
Perseverance,2023-01-24,MCZ_LEFT,6,44
Perseverance,2023-01-24,SKYCAM,2,44
Perseverance,2023-01-24,SUPERCAM_RMI,4,44
Perseverance,2023-01-25,NAVCAM_LEFT,65,145
Perseverance,2023-01-25,NAVCAM_RIGHT,50,145
Perseverance,2023-01-25,MCZ_RIGHT,11,145
Perseverance,2023-01-25,MCZ_LEFT,11,145
Perseverance,2023-01-25,FRONT_HAZCAM_LEFT_A,1,145
Perseverance,2023-01-25,FRONT_HAZCAM_RIGHT_A,1,145
Perseverance,2023-01-25,REAR_HAZCAM_LEFT,1,145
Perseverance,2023-01-25,REAR_HAZCAM_RIGHT,1,145
Perseverance,2023-01-25,SKYCAM,4,145
Perseverance,2023-01-26,NAVCAM_LEFT,42,96
Perseverance,2023-01-26,MCZ_RIGHT,20,96
Perseverance,2023-01-26,MCZ_LEFT,20,96
Perseverance,2023-01-26,SKYCAM,2,96
Perseverance,2023-01-26,SUPERCAM_RMI,12,96
Perseverance,2023-01-27,NAVCAM_LEFT,20,310
Perseverance,2023-01-27,MCZ_RIGHT,156,310
Perseverance,2023-01-27,MCZ_LEFT,132,310
Perseverance,2023-01-27,SUPERCAM_RMI,2,310
Perseverance,2023-01-28,NAVCAM_LEFT,16,168
Perseverance,2023-01-28,MCZ_RIGHT,70,168
Perseverance,2023-01-28,MCZ_LEFT,70,168
Perseverance,2023-01-28,SKYCAM,2,168
Perseverance,2023-01-28,SUPERCAM_RMI,10,168
Perseverance,2023-01-29,,0,0
Perseverance,2023-01-30,NAVCAM_LEFT,38,330
Perseverance,2023-01-30,MCZ_RIGHT,124,330
Perseverance,2023-01-30,MCZ_LEFT,164,330
Perseverance,2023-01-30,SKYCAM,4,330
Perseverance,2023-01-31,NAVCAM_LEFT,116,1096
Perseverance,2023-01-31,NAVCAM_RIGHT,97,1096
Perseverance,2023-01-31,MCZ_RIGHT,61,1096
Perseverance,2023-01-31,MCZ_LEFT,742,1096
Perseverance,2023-01-31,FRONT_HAZCAM_LEFT_A,38,1096
Perseverance,2023-01-31,FRONT_HAZCAM_RIGHT_A,38,1096
Perseverance,2023-01-31,REAR_HAZCAM_LEFT,1,1096
Perseverance,2023-01-31,REAR_HAZCAM_RIGHT,1,1096
Perseverance,2023-01-31,SKYCAM,2,1096
